orc20_tick_name,orc20_tick_deploy_count
"<a href=""https://ordinals.com/inscription/ff1ea8e98eb2598db91803bf60528baa9e0fd3e366ecdcef8c9a351d063fd922i0"" target = ""_blank"">231356</a>",904
ordi,397
ordinals,280
pepe,242
gm,214
punk,198
meme,176
DOGE,153
wudi,139
ORC20,118
whale,113
BTC,103
bnb,92
eth,64
ORD,59
bitcoin,44
Tesla,43
ordinal,42
okex,42
binance,40
pizza,34
Vitalik Buterin,30
Satoshi Nakamoto,29
dave,25
web3,24
SATOSHI,23
OrcDAO,19
₿,18
orcd,17
wojak,14
btc,14
ape,13
panda,12
dog,12
noug,11
doge,10
sats,9
PEPE,9
shib,8
ordz,8
ord,7
fun,7
orci,6
orc20,6
Ordinals,6
xing,5
people,5
key,5
gold,5
elon,5
SEX,5
420,5
zbit,4
wzrd,4
vmpx,4
satoshi,4
sat,4
piza,4
orca,4
nals,4
moon,4
love,4
kek,4
fud,4
domo,4
WOJAK,4
TRUMP,4
PUPS,4
FLOKI,4
ETH,4
China,4
BITCOIN,4
🚀,3
🐸,3
π,3
trump,3
ogmi,3
og,3
musk,3
money,3
ladys,3
gua,3
gate.io,3
gas,3
defi,3
crypto,3
china,3
bull,3
apple,3
ai,3
abra,3
WAGMI,3
Twitter,3
Satoshi,3
SIGMA,3
OKX,3
NewJeans,3
LFG,3
HK,3
COOK,3
BRC 20.00,3
BNB,3
BAYC,3
BANG,3
1000,3
1,3
$orc,3
👽,2
🎮,2
◉,2
∞,2
฿,2
x,2
wei,2
vibe,2
sun,2
stamps,2
sex,2
sato,2
s,2
privacy,2
pepecash,2
orcpunks,2
orc1,2
orc-20,2
opensea.io,2
nostr,2
nlg,2
nft,2
milady,2
meta,2
lowb,2
lambo,2
inscriptions,2
inscription,2
hype,2
high,2
google,2
god,2
frog,2
first,2
elonmusk,2
element,2
ele,2
dogecoin,2
debox,2
dao,2
cz,2
cat,2
brc20,2
brc-20,2
bit,2
beer,2
bank,2
a,2
XI,2
XEN,2
WellsFargo,2
WSB,2
WIZARD,2
W,2
VMPX,2
Unisat,2
USDT,2
Trump,2
SpaceX,2
Sonic,2
SHIB,2
Pixel Pepes,2
P,2
NFT,2
NAKAMOTO,2
Microsoft,2
Mask,2
M,2
LADYS,2
L,2
G,2
F,2
ELON,2
DeGods,2
DEGEN,2
D,2
COPE,2
COBRA,2
BitcoinApes,2
