deploy_id,orc_p,orc_tick,orc_name,orc_id,orc_op,orc_max,orc_lim,orc_dec,orc_ug,orc_wp,orc_v,orc_msg,tx_id,block_height,index,time(UTC),mine_types
1,orc-20,ogmi,,1,deploy,,,,,TRUE,,,49d3f5a2dc27d6d495dd3386a729113f296c3f8d939140adf2f2d3f7ec5764f3,787603,2929,2023-04-30 07:43,text/plain
2,orc-20,orc,,1,deploy,21000000.0,10000.0,,,,,,97b870b043d9745e674e2eb7bafbd9fa3dcdbbd776c671dab820710747ce9059,787606,1369,2023-04-30 08:06,text/plain
5,orc-20,ordi,,6,deploy,21000000.0,1000.0,,,,,,a097aec866cf4a54bd7fab04f7d8f6f3a4795cf29edb62eb9626301f06e1ff37,788119,476,2023-05-03 18:04,text/plain
6,orc-20,eth,Ethereum,1,deploy,100000000.0,10000.0,,,,,,cde0df822c23777a0466ab7757f32723a1df2f62d94354984ff5608eb6a353d9,788119,1825,2023-05-03 18:04,text/plain
7,orc-20,bnb,BinanceToken,1,deploy,160000000.0,16000.0,,,,,,65a7a35fce9f7b8a0f0e5985d73b1a41ebb563ba5bde46891860f2d7935a1471,788119,1826,2023-05-03 18:04,text/plain
8,orc-20,pepe,,1,deploy,21000000.0,10000.0,,,,,,2d5468cedb5d243552eef570f770996419a05397e5985d670ecd50334d8ddd30,788119,1910,2023-05-03 18:04,text/plain
9,orc-20,okex,,1,deploy,21000000.0,10000.0,,,,,,f2b10a7f75fe3d5ae7344156cac45c378ebc181f363e76bf4b26d55c8f2d9360,788119,1916,2023-05-03 18:04,text/plain
10,orc-20,Satoshi Nakamoto,,1,deploy,21000000.0,10000.0,,,,,,b08481a2d665f3d58bbddc2615b7698bde1002e6c1cbf61f633d7654de58815e,788119,1917,2023-05-03 18:04,text/plain
11,orc-20,web3,,1,deploy,21000000.0,10000.0,,,,,,5f5fd3a8d805bb5c08e4dd513f5abbe385cd472b089065bb0b7456eaef17db63,788119,1918,2023-05-03 18:04,text/plain
12,orc-20,punk,PunkToken,1,deploy,10000.0,1.0,,,,,,577e63154f57737f99317c2f4649369e34c58fa75fed414c0e45a8713bf8f878,788119,1919,2023-05-03 18:04,text/plain
13,orc-20,binance,,1,deploy,21000000.0,10000.0,,,,,,eabd88b71724f950c82b0a2e48d81931f44d034868d59dc876935b406de5a980,788119,1920,2023-05-03 18:04,text/plain
14,orc-20,dave,,1,deploy,21000000.0,10000.0,,,,,,a1767b32564d165ca7d48ddbb90eded06d589599fa44e5958be4149869c1f143,788119,2753,2023-05-03 18:04,text/plain
16,orc-20,meme,MemeToken,1,deploy,10000000.0,1000.0,,,,,,2ca4b7e12d95be007c3c77e5db235974e95747fabf78397059ffea1cb5c8a173,788120,492,2023-05-03 18:04,text/plain
17,orc-20,wudi,,2,deploy,21000000.0,10000.0,,,,,,8f084408d7416a133d33558181a3ba3929fe265f978e9fcfb3af271a2a68f152,788120,1378,2023-05-03 18:04,text/plain
19,orc-20,ORD,,1,deploy,21000000.0,10000.0,,,,,,aad9a18e689e449c1e75480badcabb7b6f81301614624c00a759728959e7bfec,788121,171,2023-05-03 18:20,text/plain
20,orc-20,PEPE,,1,deploy,21000000.0,1000.0,,,,,,3adb6ad066d9b5c144a01697b93a4e08b10a4a0b46fb9853927ace91e2517959,788121,843,2023-05-03 18:20,text/plain
21,orc-20,ord,,1,deploy,21000000.0,1000.0,,,,,,906a08332ec0aa43aaa84ba7ab76396c7cc37d20dd0d1e0fa402b445171aa782,788121,1298,2023-05-03 18:20,text/plain
22,orc-20,∞,,1,deploy,210000000.0,10000.0,,,,,,dbde4d140d7329736f33c29d0f0c5eb41ca0fb84a60dd2b0cac59b780d9585b9,788121,2071,2023-05-03 18:20,text/plain
23,orc-20,gm,,1,deploy,21000000.0,10000.0,,,,,,aa49b442190fc2c1f513234c8b62a3c29b3b0e2ae1601b63cdacc868d750c9f0,788122,631,2023-05-03 18:28,text/plain
24,orc-20,fud,,1,deploy,21000000.0,10000.0,,,,,,6101a3f99ab6d1fb7c14a5b96791c4597c4c4887b233586ae1b1db8a08b94b33,788122,734,2023-05-03 18:28,text/plain
25,orc-20,fml,,1,deploy,21000000.0,10000.0,,,,,,e393fcf52fdffa4b392af72df4628294d10ad870647a52f97605b1a25afd324d,788122,758,2023-05-03 18:28,text/plain
27,orc-20,dog,,1,deploy,21000000.0,10000.0,,,,,,c1f480992558007ebfa32c307b1c86555c811caf5400916de5a65fc63dc48d6f,788122,801,2023-05-03 18:28,text/plain
28,orc-20,ape,,1,deploy,21000000.0,10000.0,,,,,,caa3a9870df1b6476a320856135894c3f9cc21a780f58bf0cac3dfbc2378abc8,788122,900,2023-05-03 18:28,text/plain
29,orc-20,orc1,,1,deploy,21000000.0,10000.0,,,,,,05d3c82ab76d65109b8e3b9ac8bd1c2eb400cce719bb5d0a04007b508f1fabb9,788122,2104,2023-05-03 18:28,text/plain
31,orc-20,PUPS,,1,deploy,7770000.0,777.0,,,,,,75d27a92041c7928f49b8b087646e18ca2d49c663be4bcd5d1d9fd3134aaa1a1,788122,2496,2023-05-03 18:28,text/plain
33,orc-20,ordinals,,51,deploy,21000000.0,1000.0,,,,,,34affba343b73ee0086952469460bf1de0a10a7003111fb4857eb7a4060954e0,788122,3268,2023-05-03 18:28,text/plain
36,orc-20,bitcoin,,51,deploy,21000000.0,1000.0,,,,,,d56201a4a54b6db662e7d614dded9f44c4187ec24c8269b17b1da0427dd0c414,788123,320,2023-05-03 19:06,text/plain
37,orc-20,yuge,,1,deploy,21000000.0,10000.0,,,,,,f77792d24a70aefc4078cb6aee15e2eaa4183f2151303582f10300bbcfb3487d,788123,329,2023-05-03 19:06,text/plain
38,orc-20,SATOSHI,,1,deploy,21000000.0,10000.0,,,,,,2c2427a3c4e6256c4b2517f4f7c7e5150a6e5704a893baffca45e5a28ab27c8c,788123,745,2023-05-03 19:06,text/plain
39,orc-20,₿,,1,deploy,21000000.0,10000.0,,,,,,5f88add0197c1b17cfd4b9b5333518e8134bf5aef916a2dffa2c8f7665aec247,788123,746,2023-05-03 19:06,text/plain
40,orc-20,Ordinals,,1,deploy,21000000.0,10000.0,,,,,,5ccc8da7f060741e4e9a9d7f75e9b86cbcfe0abdaba3e30676f7ce71e1ed367e,788123,747,2023-05-03 19:06,text/plain
41,orc-20,bubbles,,1,deploy,20000000.0,20000000.0,,,,,,8ee447d4193e1388d51c631060fbc69c300dbce057c4ff05ae7016b6a461b7b2,788123,1075,2023-05-03 19:06,text/plain
42,orc-20,wojak,Wojak,1,deploy,21000000.0,10000.0,18,,,,,3d921ac6af5bd1b2ad9628b8867dcf9c37ef4987869fb2bd78316bc93db6514f,788123,1116,2023-05-03 19:06,text/plain
43,orc-20,69cash,,1,deploy,20000000.0,20000000.0,,,,,,b8db50faf27964c5c2e399229b13ecb70d1d296f669a73028e5b5dd9325317b5,788123,1371,2023-05-03 19:06,text/plain
45,orc-20,ORC20,,1,deploy,210000000.0,2100.0,,,,,,b8b21b9d6a0b27c5a146c6f818ee6785de0201de0436f0101555b7759a6358ab,788123,1529,2023-05-03 19:06,text/plain
48,orc-20,kek,,1,deploy,69000000.0,10000.0,,,,,,2015f571941469d0fdc898672c7da0a0673f08e7d8f7070dad560a5ab163b0ba,788123,1701,2023-05-03 19:06,text/plain
49,orc-20,FLOKI,,1,deploy,21000000.0,5000.0,,,,,,00e4a934e7864c0ff40aae664f182b3b50bed24111e4d4a274c115b470afd4b9,788123,1728,2023-05-03 19:06,text/plain
50,orc-20,BTC,,1,deploy,21000000.0,10000.0,,,,,,55d58c581905a4c294df602614bb717f0808de5338bc8389802850be53ef00d7,788123,1926,2023-05-03 19:06,text/plain
51,orc-20,SEX,,1,deploy,69696969.0,696.0,,,,,,eb0488635318dfcf1c83d2fd1cfb5c14898c8635783466b04b47962b74486a5b,788123,2588,2023-05-03 19:06,text/plain
52,orc-20,tfl,,1,deploy,20000000.0,20000000.0,,,,,,cb14346fc8d71120488d0e192033b6d343eb9641a621daa46f367699f2ef0730,788123,3070,2023-05-03 19:06,text/plain
54,orc-20,uni,UniDAO,1,deploy,21000000.0,10000.0,18,,,,,c372d0a7357442f8ed0cc52d6702d773f6c89f1a74c9cacefde87620b234ce49,788123,3083,2023-05-03 19:06,text/plain
55,orc-20,777,,1,deploy,21000000.0,10000.0,,,,,,8f19c7d396f8b62abc79e96fdb0650dc2d2a443d4e40e651e711430df5aaf1fc,788123,3212,2023-05-03 19:06,text/plain
56,orc-20,TOP,,1,deploy,21000000.0,10000.0,,,,,,d818820f30cc481e40466c2c45634deb59f9e3226bd52055b5164f727ada71f4,788123,3213,2023-05-03 19:06,text/plain
57,orc-20,ass,,1,deploy,21000000.0,10000.0,,,,,,a118daa18f3395a13560ae5d442d836ca2b36369c9c668f40f84207e6ecc70f5,788123,3214,2023-05-03 19:06,text/plain
58,orc-20,sex,,1,deploy,21000000.0,10000.0,,,,,,a33001b163c6305a3c9941bfce8b5fdd9f37abc4de3e59b31c931f4088d31ef9,788123,3215,2023-05-03 19:06,text/plain
59,orc-20,ACE,,1,deploy,21000000.0,10000.0,,,,,,523a055f11578336d3a88ed0036d87f507dc47ce840139588a4295315e88cbfd,788123,3216,2023-05-03 19:06,text/plain
60,orc-20,galaxydust,,1,deploy,20000000.0,20000000.0,,,,,,5d62a2dd545f82f5efef00f1d83c2f0442d00e4af69d637952dc5bbdcfdfdc18,788124,81,2023-05-03 19:09,text/plain
61,orc-20,rope,Rope,1,deploy,21000000.0,10000.0,18,,,,,ca238a949b1810ae9567fcaa515dbea47e72d6c599b37480b764554c9ae8c642,788124,115,2023-05-03 19:09,text/plain
62,orc-20,fun,,1,deploy,21000000.0,10000.0,,,,,,0c5d6792b4af4a0dfb56fda4f31fd5fd058c872a000ad5e984744028cf260f08,788124,334,2023-05-03 19:09,text/plain
