Inscription_id,orc_mint_total,ord_amt,mint_id,block_time,block_height,txid,owner
2533758,10000,10000,1,2023-04-30 09:38:19.000 UTC,787619,141c748d561f8558ca7d39bab587a1d2e8524f9047fa25729d04e731e88dd2bc,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2533759,20000,10000,2,2023-04-30 09:38:19.000 UTC,787619,ed749f1192a18e5649a9e7a0acf8730a295c567259fcc8b62c54d68ddb40dd0b,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2533760,30000,10000,3,2023-04-30 09:38:19.000 UTC,787619,39fe5b855abcf42c9b25f3740a584781ab727dc7893af0d33b49755ce1ef9058,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2533761,40000,10000,4,2023-04-30 09:38:19.000 UTC,787619,7f433457b656b127dd9f19106194e486e14b2ba23cef3721c5005915fb6a3c72,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2533762,50000,10000,5,2023-04-30 09:38:19.000 UTC,787619,a862427cc7ece9e729df490cdc5b0680569e5ca6fdc310f9a4599f95b09e497b,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2533763,60000,10000,6,2023-04-30 09:38:19.000 UTC,787619,3893cd3da1d50a8612172935dafc4ddeda1775ac9c15b79eab290ef11b22ea87,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2533764,70000,10000,7,2023-04-30 09:38:19.000 UTC,787619,bade054dada5275385e388fa3551814e30bc1a65e94995fc181d42e480082e8d,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2533765,80000,10000,8,2023-04-30 09:38:19.000 UTC,787619,702312e64a209a26446c607901757077271e547307a1411d4153db8dee9e2a91,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2533766,90000,10000,9,2023-04-30 09:38:19.000 UTC,787619,828063622fb33de82db3f4d9b62cd7253db2498f110ca6349217aaeca389bde3,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2533767,100000,10000,10,2023-04-30 09:38:19.000 UTC,787619,d5e9a9466e1f44025ec7fd9e5147c386244f2759b9788faddd6029b0e388b5fa,bc1p0tnwgvnsk5eer5npup9tyfvq8hd4wfw5qh2z7c5667k7ur3r0atsjtm3m0
2713734,110000,10000,11,2023-05-01 00:41:33.000 UTC,787715,86793b6e39536172cecb27857e2a6a833cd0a3c7968846df6289e66655210fda,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713735,120000,10000,12,2023-05-01 00:41:33.000 UTC,787715,fe33e25eabde287d6a231e43270f6a783079d9594c50a702185a1ac6de3ff500,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713736,130000,10000,13,2023-05-01 00:41:33.000 UTC,787715,127a356dfe865f3d410b86de5cb37e57577ad5d5cc505ffb5889c72912b23f0a,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713737,140000,10000,14,2023-05-01 00:41:33.000 UTC,787715,2194c042af5de24644c219e57d885b3ae73cdcb9c01712065fd1502b6cb89a2c,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713738,150000,10000,15,2023-05-01 00:41:33.000 UTC,787715,047aa53bcfec04b8c64a488fc268c2490292ec1477e05ccb32d6e0d63143ae3d,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713739,160000,10000,16,2023-05-01 00:41:33.000 UTC,787715,cda9024889046fded0ceeeb547e4b644c439b4e2baffb928f63762bf1e619579,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713740,170000,10000,17,2023-05-01 00:41:33.000 UTC,787715,195e797716c8ae96ab610c9cfda30ccb710eb03272de28a5c65935c8349b5c9c,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713741,180000,10000,18,2023-05-01 00:41:33.000 UTC,787715,306f2bb201b837649da0151b78613d18d70e63574e6857cab1b62f4a356c59c5,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713742,190000,10000,19,2023-05-01 00:41:33.000 UTC,787715,c9a8c0a8adf1ae2a146235f27b655cca29fe473d040706b0f44b72937d7193c5,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713743,200000,10000,20,2023-05-01 00:41:33.000 UTC,787715,c8c8beec1f5ed2a1683ef37fe17670a9c9bbad3cc63831458e55824f8f8fa3e9,bc1p8e75ak9shw209k5z2tva4nh0l78xtm3t8gfl3dd6ar98kj05856sr4f4tp
2713744,210000,10000,21,2023-05-01 00:41:33.000 UTC,787715,ab533daf4c72b2ed51f29490f8c8ef782fce9ab52e4eb73ed02a56e2316678cf,bc1p229r2cc2jhg9wuu4fqemq3msqd5p4ntny2vulnzwvpvlzkwgdhhq09fw5k
